point_idx,row,col,x,y,z
613,3,133,-1034.51,527.01,2030.0
614,3,134,-945.0,472.5,1820.0
615,3,135,-1043.41,512.22,1973.0
616,3,136,-990.76,477.69,1840.0
617,3,137,-1057.78,501.05,1930.0
618,3,138,-1006.63,468.6,1805.0
619,3,139,-1097.17,502.09,1934.0
620,3,140,-1118.07,503.13,1938.0
621,3,141,-1101.51,487.55,1878.0
622,3,142,-1161.3,505.73,1948.0
623,3,143,-1181.85,506.5,1951.0
624,3,144,-1173.53,495.08,1907.0
625,3,145,-1224.37,508.58,1959.0
626,3,146,-1268.59,518.97,1999.0
627,3,147,-1188.6,478.99,1845.0
628,3,148,-1251.46,496.9,1914.0
629,3,149,-1177.64,460.81,1775.0
630,3,150,-1281.53,494.3,1904.0
631,3,151,-1229.52,467.56,1801.0
632,3,152,-1332.0,499.5,1924.0
633,3,153,-1353.3,500.53,1928.0
634,3,154,-1392.48,508.06,1957.0
635,3,155,-1427.16,513.77,1979.0
636,3,156,-1394.3,495.34,1908.0
637,3,157,-1423.01,498.98,1922.0
638,3,158,-1495.5,517.67,1994.0
639,3,159,-1414.4,483.4,1862.0
640,4,0,1465.38,476.25,1905.0
641,4,1,1430.35,470.75,1883.0
642,4,2,1314.0,438.0,1752.0
643,4,3,1490.39,503.25,2013.0
644,4,4,1296.38,443.5,1774.0
645,4,5,1365.86,473.5,1894.0
646,4,6,6.0,4.0,65300.0
647,4,7,1332.95,474.75,1899.0
648,4,8,1324.38,478.25,1913.0
649,4,9,1233.62,451.75,1807.0
650,4,10,1221.63,453.75,1815.0
651,4,11,1222.75,460.75,1843.0
652,4,12,1237.73,473.25,1893.0
653,4,13,1220.17,473.5,1894.0
654,4,14,1254.0,494.0,1976.0
655,4,15,1190.62,476.25,1905.0
656,4,16,1142.15,464.0,1856.0
657,4,17,1169.13,482.5,1930.0
658,4,18,1127.32,472.75,1891.0
659,4,19,1153.13,491.5,1966.0
660,4,20,1073.07,465.0,1860.0
661,4,21,997.32,439.5,1758.0
662,4,22,1003.28,449.75,1799.0
663,4,23,1066.0,486.25,1945.0
664,4,24,1024.15,475.5,1902.0
665,4,25,1018.02,481.25,1925.0
666,4,26,1006.78,484.75,1939.0
667,4,27,927.5,455.0,1820.0
668,4,28,961.0,480.5,1922.0
669,4,29,919.96,469.0,1876.0
670,4,30,950.0,494.0,1976.0
671,4,31,857.02,454.75,1819.0
672,4,32,905.07,490.25,1961.0
673,4,33,902.94,499.5,1998.0
674,4,34,825.78,466.75,1867.0
675,4,35,855.86,494.5,1978.0
676,4,36,798.34,471.75,1887.0
677,4,37,787.23,476.0,1904.0
678,4,38,791.94,490.25,1961.0
679,4,39,762.83,483.75,1935.0
680,4,40,710.0,461.5,1846.0
681,4,41,655.5,437.0,1748.0
682,4,42,690.94,472.75,1891.0
683,4,43,606.94,426.5,1706.0
684,4,44,617.88,446.25,1785.0
685,4,45,599.03,445.0,1780.0
686,4,46,575.71,440.25,1761.0
687,4,47,544.5,429.0,1716.0
688,4,48,535.69,435.25,1741.0
689,4,49,527.0,442.0,1768.0
690,4,50,502.21,435.25,1741.0
691,4,51,482.4,432.5,1730.0
692,4,52,478.96,444.75,1779.0
693,4,53,450.43,433.75,1735.0
694,4,54,413.25,413.25,1653.0
695,4,55,416.82,433.5,1734.0
696,4,56,378.92,410.5,1642.0
697,4,57,394.53,446.0,1784.0
698,4,58,390.71,461.75,1847.0
699,4,59,363.66,450.25,1801.0
700,4,60,337.5,438.75,1755.0
701,4,61,334.87,458.25,1833.0
702,4,62,316.9,457.75,1831.0
703,4,63,301.91,461.75,1847.0
